id,"ctime","turbo_id","pair","direction","contract","return","strategy",timeleft
1,"2017-06-21 14:42:54","A8bJGrBf7zASJanDE","USD-MXN","short","1min","55000","macd:stochs",NULL
2,"2017-06-21 14:42:56","oi5bpD38PqcGtBjf5","USD-MXN","short","5min","-100000","macd:stochs",NULL
3,"2017-06-21 14:42:57","8pJubjziD5WMRcM5G","USD-CHF","long","1min","70000","bullish:dragonflydoji",NULL
4,"2017-06-21 14:42:59","YoMv8ZJNbbR3qh4Kk","USD-CHF","long","5min","-100000","bullish:dragonflydoji",NULL
5,"2017-06-21 14:43:07","A7nRDXZ3QrFGd7ynD","USD-JPY","long","1min","61000","bearish:dragonflydoji:macd",NULL
6,"2017-06-21 14:43:08","NPKuTYardzRfLgNJT","USD-JPY","long","5min","50000","bearish:dragonflydoji:macd",NULL
7,"2017-06-21 14:43:10","x28RZn4aWzSdGDpWR","USD-JPY","long","1min","61000","bearish:dragonflydoji",NULL
8,"2017-06-21 14:43:11","ysJ4pjDSTJrbRWSRy","USD-JPY","long","5min","50000","bearish:dragonflydoji",NULL
9,"2017-06-21 14:46:00","xkC8zLAeepFR43Ap7","USD-CAD","short","1min","-100000","shootingstar:stochs",NULL
10,"2017-06-21 14:46:02","wjcerhi8zBfuojokg","USD-CAD","short","5min","-100000","shootingstar:stochs",NULL
11,"2017-06-21 14:46:16","dk8evqetYnNRApqLz","USD-CAD","short","1min","75000","rsi:shootingstar:stochs",NULL
12,"2017-06-21 14:46:17","wXmzo4WjDeFYjswSc","USD-CAD","short","5min","50000","rsi:shootingstar:stochs",NULL
13,"2017-06-21 14:46:19","JEFgR6kjpdFWaT5ce","USD-CAD","short","1min","75000","rsi:stochs",NULL
14,"2017-06-21 14:46:20","Q7PPe9w2FmH4nmmjy","USD-CAD","short","5min","0","rsi:stochs",NULL
15,"2017-06-21 14:46:22","zwYuivBFDNQoGCkQj","USD-CAD","short","1min","-100000","rsi:shootingstar",NULL
16,"2017-06-21 14:46:23","QrHeySTEbeoAwKQzQ","USD-CAD","short","5min","0","rsi:shootingstar",NULL
17,"2017-06-21 14:48:03","hD4CGfjmNGKYEHQTk","NZD-USD","long","1min","-100000","bearish:dragonflydoji",NULL
18,"2017-06-21 14:48:04","jwBGn7sCEbdD36F3d","NZD-USD","long","5min","-100000","bearish:dragonflydoji",NULL
19,"2017-06-21 14:48:05","H68K9pfXAxstBfH2P","NZD-USD","short","1min","50000","hangingman:macd",NULL
20,"2017-06-21 14:48:07","iDwPgo6RrT2RDiQwR","NZD-USD","short","5min","50000","hangingman:macd",NULL
21,"2017-06-21 14:48:22","ZtqagTLjB7jhk7br3","NZD-USD","long","1min","-100000","dragonflydoji:stochs",NULL
22,"2017-06-21 14:48:24","mxKhN6gFLg7XnshEG","NZD-USD","long","5min","-100000","dragonflydoji:stochs",NULL
23,"2017-06-21 14:48:25","bsokam7ps3cQkxp2M","NZD-USD","long","1min","-100000","bearish:dragonflydoji:stochs",NULL
24,"2017-06-21 14:48:26","gj3cve85S3M9WXACs","NZD-USD","long","5min","-100000","bearish:dragonflydoji:stochs",NULL
25,"2017-06-21 14:48:28","WTLZLiKRNHA6bLT6J","NZD-USD","long","1min","-100000","bearish:stochs",NULL
26,"2017-06-21 14:48:29","ixuJYeA6jmKafoigb","NZD-USD","long","5min","-100000","bearish:stochs",NULL
27,"2017-06-21 14:50:57","mamNqwPXZ7SBjKro9","USD-JPY","long","1min","61000","macd:stochs",NULL
28,"2017-06-21 14:50:58","QqZ6kBCoTRixuyPeA","USD-JPY","long","5min","50000","macd:stochs",NULL
29,"2017-06-21 14:52:02","rpXmpFR4BLgundhrj","EUR-USD","short","1min","0","shootingstar:stochs",NULL
30,"2017-06-21 14:52:03","wjLpkXYciGF3Ru5La","EUR-USD","short","5min","0","shootingstar:stochs",NULL
31,"2017-06-21 14:53:30","HijSnzLYsBax7xvsi","USD-JPY","long","1min","61000","bearish:macd:stochs",NULL
32,"2017-06-21 14:53:32","P89eiKrGs6p9pTCnP","USD-JPY","long","5min","50000","bearish:macd:stochs",NULL
33,"2017-06-21 14:53:33","Q6cPhTsNCfhQvRfeT","USD-JPY","long","1min","61000","bearish:stochs",NULL
34,"2017-06-21 14:53:35","M2NmLZ8zN9MMdhqaq","USD-JPY","long","5min","50000","bearish:stochs",NULL
35,"2017-06-21 14:55:02","tAkJT6s2sm99BwQ6F","USD-CNH","long","1min","-100000","dragonflydoji:stochs",NULL
36,"2017-06-21 14:55:04","txy8QwNC3JSWm3avc","USD-CNH","long","5min","50000","dragonflydoji:stochs",NULL
37,"2017-06-21 14:56:02","LtrTnGcrF5qe2iqsP","NZD-USD","long","1min","0","bullish:dragonflydoji",NULL
38,"2017-06-21 14:56:03","mTnELFcamKGaLLWju","NZD-USD","long","5min","-100000","bullish:dragonflydoji",NULL
